Date;Close;High;Low;Open;Volume
05/06/2023;3.914.557.647.705.070;39.539.317.935.308.400;38.681.876.946.870.200;3.888.374.549.804.090;396094000
06/06/2023;3.862.891.387.939.450;3.913.458.601.689.930;38.123.241.741.889.700;38.804.802.160.748.400;388729000
07/06/2023;3.745.454.788.208.000;3.947.744.543.312.820;3.733.561.334.043.700;38.893.764.495.503.200;511998000
08/06/2023;3.848.898.696.899.410;388.427.939.153.626;3.748.453.804.984.030;37.703.416.518.186.600;417772000
09/06/2023;38.748.844.146.728.500;3.968.932.873.307.710;38.545.955.805.851.400;3.901.569.674.007.000;427717000
12/06/2023;3.946.045.684.814.450;3.950.843.099.459.070;3.859.692.983.734.380;3.917.861.302.696.570;388701000
13/06/2023;4.099.961.853.027.340;410.785.778.084.364;3.971.832.028.335.550;40.164.076.100.144.500;613208000
14/06/2023;4.297.354.507.446.280;4.297.654.179.079.340;4.052.987.541.154.220;4.080.173.019.682.720;740465000
15/06/2023;42.629.730.224.609.300;43.265.384.836.246.600;4.212.400.575.806.210;4.257.875.935.956.900;568622000
16/06/2023;42.668.704.986.572.200;4.369.714.280.637.500;42.637.719.859.224.500;4.342.629.077.833.160;655709000
20/06/2023;43.784.095.764.160.100;4.396.599.947.936.290;4.265.071.563.542.560;42.974.540.163.328.000;451153000
21/06/2023;43.021.514.892.578.100;43.591.207.435.657.100;4.205.704.501.017.960;4.347.726.740.199.490;551603000
22/06/2023;4.300.152.587.890.620;43.402.304.245.478.600;422.109.571.046.696;4.222.994.393.165.160;417737000
23/06/2023;4.218.597.412.109.370;4.278.564.528.889.140;419.920.797.064;42.440.836.083.085.100;358140000
26/06/2023;4.060.983.657.836.910;4.274.067.361.348.420;4.007.812.527.195.300;4.243.783.748.676.330;594322000
27/06/2023;41.853.153.228.759.700;4.191.711.748.885.720;40.425.934.710.005.000;4.077.674.114.143.430;462175000
28/06/2023;4.109.456.253.051.750;4.182.216.589.254.700;4.049.589.038.816.180;40.637.811.188.976.000;582639000
29/06/2023;4.079.972.457.885.740;41.577.299.950.801.000;40.577.845.588.400.800;4.153.532.305.058.580;380514000
30/06/2023;422.789.192.199.707;42.526.785.015.369.900;4.147.835.753.719.580;41.657.260.733.272.200;501148000
03/07/2023;4.238.985.824.584.960;42.874.594.246.480.000;4.217.897.482.861.760;424.938.015.963.702;198209000
05/07/2023;4.229.391.098.022.460;4.315.343.851.678.270;42.062.035.314.453.600;4.211.200.726.932.320;323618000
06/07/2023;4.208.003.234.863.280;4.215.599.110.214.390;41.323.445.342.508.200;41.821.174.768.467.000;303582000
07/07/2023;42.479.801.177.978.500;4.319.041.547.884.920;42.156.979.416.123.600;42.298.900.207.687.300;355881000
10/07/2023;42.156.986.236.572.200;42.787.642.471.608.000;4.162.627.391.492.430;4.263.372.716.743.970;353908000
11/07/2023;42.381.866.455.078.100;4.273.467.453.078.960;42.044.053.399.323.700;4.245.782.520.987.240;298244000
12/07/2023;4.387.804.412.841.790;43.911.027.066.615.400;4.275.365.801.470.830;4.300.951.883.998.820;481277000
13/07/2023;4.595.191.192.626.950;4.612.981.238.358.940;4.446.772.166.829.550;4.449.370.845.634.320;478204000
14/07/2023;45.444.190.979.003.900;4.806.176.136.683.880;4.503.541.375.901.060;4.655.758.152.341.570;772075000
